"milestone","state","open.issues","closed.issues","created.time","updated.time","closed.time","due.time"
1505184," closed",0,6," 2016-01-13T18:39:03Z"," 2016-02-02T22:25:30Z"," 2016-02-02T22:25:30Z"," 2016-02-01T05:00:00Z"
1564549," closed",0,4," 2016-02-04T22:27:02Z"," 2016-02-10T20:41:05Z"," 2016-02-10T20:41:05Z"," 2016-02-10T05:00:00Z"
1564551," closed",0,4," 2016-02-04T22:28:09Z"," 2016-02-17T19:48:53Z"," 2016-02-17T19:48:53Z"," 2016-02-17T05:00:00Z"
1564552," closed",0,4," 2016-02-04T22:29:31Z"," 2016-02-24T20:48:32Z"," 2016-02-24T20:48:32Z"," 2016-02-24T05:00:00Z"
1559729," closed",0,15," 2016-02-02T22:25:42Z"," 2016-03-03T17:31:59Z"," 2016-03-03T17:31:59Z"," 2016-03-01T05:00:00Z"
1616926," closed",0,4," 2016-03-02T03:53:14Z"," 2016-03-03T21:27:59Z"," 2016-03-03T21:27:59Z"," 2016-03-03T05:00:00Z"
1635049," closed",0,9," 2016-03-09T19:22:12Z"," 2016-03-30T19:05:25Z"," 2016-03-30T19:05:25Z"," 2016-03-31T04:00:00Z"
1564450," closed",0,6," 2016-02-04T21:19:33Z"," 2016-04-07T16:03:54Z"," 2016-04-07T16:03:54Z"," 2016-04-07T04:00:00Z"
1630936," closed",0,6," 2016-03-08T16:13:44Z"," 2016-04-07T16:03:56Z"," 2016-04-07T16:03:56Z"," 2016-04-07T04:00:00Z"
1564451," open",5,2," 2016-02-04T21:19:49Z"," 2016-04-26T19:25:48Z"," None"," 2016-05-01T04:00:00Z"
